action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,game_date,opponent,shot_id
Jump Shot,33.8913,-204,153,-118.4738,3,4,1,2011-12,12,25,0.0,Left Side Center(LC),2012-05-04,DEN,19751
Jump Shot,34.0343,-87,10,-118.3568,3,3,1,1998-99,17,8,1.0,Left Side(L),1999-05-15,HOU,13785
Driving Layup Shot,34.0443,0,0,-118.2698,6,3,0,2008-09,20,0,,Center(C),2008-11-18,CHI,11239
Fadeaway Jump Shot,33.8773,67,167,-118.2028,4,3,0,2010-11,22,17,1.0,Right Side Center(RC),2011-02-25,LAC,19609
Jump Shot,33.8603,187,184,-118.0828,2,2,0,2006-07,20,26,0.0,Right Side Center(RC),2006-12-19,CHI,23158
Driving Dunk Shot,34.0443,0,0,-118.2698,6,3,0,2002-03,49,0,,Center(C),2003-01-10,CLE,24680
Running Jump Shot,33.9383,-119,106,-118.3888,1,4,0,1998-99,38,15,1.0,Left Side(L),1999-03-19,PHI,10557
Jump Shot,34.0083,64,36,-118.2058,11,3,0,2001-02,15,7,0.0,Center(C),2001-12-11,SEA,25556
Jump Shot,33.8683,182,176,-118.0878,8,4,0,2012-13,22,25,0.0,Right Side Center(RC),2013-01-11,OKC,2767
Jump Shot,33.8213,104,223,-118.1658,4,2,0,2015-16,32,24,0.0,Right Side Center(RC),2016-02-24,MEM,22385
Jump Shot,34.0603,-243,-16,-118.5128,0,4,0,2012-13,29,24,,Left Side(L),2013-03-08,TOR,2027
Jump Shot,33.8553,-164,189,-118.4338,5,1,0,2006-07,59,25,0.0,Left Side Center(LC),2006-11-26,NJN,26175
Driving Layup Shot,34.0443,0,0,-118.2698,3,5,1,2003-04,46,0,1.0,Center(C),2004-06-08,DET,1528
Fadeaway Jump Shot,34.0493,94,-5,-118.1758,7,3,1,2009-10,5,9,1.0,Right Side(R),2010-05-10,UTA,25064
Fadeaway Jump Shot,34.0493,176,-5,-118.0938,6,4,0,2005-06,56,17,1.0,Right Side(R),2005-11-03,PHX,30364
Layup Shot,34.0413,23,3,-118.2468,11,3,0,2006-07,22,2,,Center(C),2007-02-25,GSW,17893
Layup Shot,34.0443,0,0,-118.2698,4,2,0,2004-05,44,0,0.0,Center(C),2005-03-15,PHI,2704
Jump Shot,33.7973,-87,247,-118.3568,3,1,0,2007-08,32,26,,Left Side Center(LC),2008-01-11,MIL,20458
Jump Shot,33.8733,102,171,-118.1678,10,1,0,2004-05,37,19,0.0,Right Side Center(RC),2004-11-13,HOU,5188
Jump Shot,33.8573,107,187,-118.1628,5,2,0,2006-07,51,21,,Right Side Center(RC),2006-12-25,MIA,24018
Jump Shot,33.8603,-16,184,-118.2858,8,3,0,2005-06,16,18,1.0,Center(C),2006-03-14,SAC,27647
Floating Jump shot,33.9753,6,69,-118.2638,11,3,0,2008-09,32,6,1.0,Center(C),2008-12-28,GSW,8472
Jump Shot,33.8693,113,175,-118.1568,6,3,0,2011-12,42,20,0.0,Right Side Center(RC),2012-03-06,DET,27169
Jump Shot,33.9063,-169,138,-118.4388,1,1,0,2004-05,43,21,0.0,Left Side Center(LC),2004-11-03,UTA,8764
Jump Shot,34.0503,159,-6,-118.1108,9,2,0,2002-03,14,15,0.0,Right Side(R),2002-12-06,DAL,24012
Jump Shot,33.9073,-134,137,-118.4038,6,4,0,2008-09,37,19,0.0,Left Side Center(LC),2009-02-11,UTA,7418
Turnaround Jump Shot,33.8063,-103,238,-118.3728,0,4,0,2014-15,2,25,0.0,Left Side Center(LC),2014-11-11,MEM,19906
Driving Layup Shot,34.0443,0,0,-118.2698,5,2,0,2006-07,31,0,,Center(C),2006-11-28,MIL,29934
Jump Shot,33.8853,199,159,-118.0708,9,2,0,2015-16,2,25,1.0,Right Side Center(RC),2015-12-02,WAS,3849
Jump Shot,34.0493,-240,-5,-118.5098,9,3,0,2011-12,55,24,1.0,Left Side(L),2012-04-20,SAS,16167
Jump Shot,34.0333,188,11,-118.0818,11,2,0,2001-02,30,18,0.0,Right Side(R),2002-02-14,SEA,16876
Jump Shot,34.0333,190,11,-118.0798,6,4,0,2014-15,31,19,0.0,Right Side(R),2014-12-09,SAC,28299
Layup Shot,34.0523,-8,-8,-118.2778,0,2,0,2012-13,44,1,0.0,Center(C),2013-02-25,DEN,30611
Reverse Layup Shot,34.0443,-16,0,-118.2858,3,3,0,2007-08,36,1,1.0,Center(C),2007-12-14,GSW,26506
Fadeaway Jump Shot,33.9453,166,99,-118.1038,1,2,1,2002-03,5,19,1.0,Right Side(R),2003-04-20,MIN,21729
Running Jump Shot,33.9703,22,74,-118.2478,7,3,0,2000-01,9,7,1.0,Center(C),2001-03-07,TOR,19802
Jump Shot,33.9763,-96,68,-118.3658,3,1,0,1998-99,13,11,,Left Side(L),1999-03-19,PHI,5911
Jump Shot,33.8843,95,160,-118.1748,1,3,0,2002-03,2,18,1.0,Right Side Center(RC),2002-11-07,BOS,23265
Jump Shot,33.9963,-174,48,-118.4438,2,1,1,2003-04,4,18,0.0,Left Side(L),2004-05-25,MIN,16740
Jump Shot,33.8523,-3,192,-118.2728,6,1,1,2007-08,13,19,0.0,Center(C),2008-05-14,UTA,25102
Layup Shot,34.0293,0,15,-118.2698,5,1,0,2012-13,18,1,,Center(C),2013-02-14,LAC,4425
Layup Shot,34.0443,0,0,-118.2698,4,4,0,2001-02,27,0,1.0,Center(C),2001-11-11,ORL,11467
Jump Shot,33.9083,-151,136,-118.4208,9,2,0,1997-98,22,20,1.0,Left Side Center(LC),1997-12-03,DEN,21445
Jump Shot,34.0443,-125,0,-118.3948,1,4,0,2011-12,10,12,,Left Side(L),2012-01-10,PHX,25666
Jump Shot,33.8883,2,156,-118.2678,5,2,0,2010-11,18,15,1.0,Center(C),2011-03-27,NOH,20639
Turnaround Jump Shot,33.9663,12,78,-118.2578,1,3,0,2009-10,51,7,,Center(C),2009-12-19,NJN,9986
Jump Shot,33.9033,204,141,-118.0658,4,4,0,2005-06,26,24,0.0,Right Side Center(RC),2006-02-28,ORL,6180
Turnaround Jump Shot,33.9043,138,140,-118.1318,3,5,0,2012-13,58,19,1.0,Right Side Center(RC),2012-12-22,GSW,17184
Running Bank shot,34.0113,116,33,-118.1538,0,4,0,2008-09,24,12,1.0,Right Side(R),2008-12-05,WAS,23272
Jump Shot,34.0013,-3,43,-118.2728,0,1,0,2006-07,36,4,1.0,Center(C),2006-11-17,TOR,10508
Fadeaway Jump Shot,34.0373,138,7,-118.1318,10,4,0,2001-02,47,13,1.0,Right Side(R),2002-01-09,IND,13610
Jump Shot,33.8903,-194,154,-118.4638,7,2,0,2015-16,59,24,0.0,Left Side Center(LC),2015-12-04,ATL,10550
Jump Shot,33.8843,-184,160,-118.4538,9,1,0,2015-16,53,24,0.0,Left Side Center(LC),2016-02-19,SAS,5555
Jump Shot,33.9153,207,129,-118.0628,4,2,0,2015-16,19,24,0.0,Right Side Center(RC),2016-02-08,IND,27039
Jump Shot,34.0183,-78,26,-118.3478,0,3,1,2009-10,2,8,0.0,Left Side(L),2010-05-27,PHX,12629
Pullup Jump shot,33.8613,-119,183,-118.3888,9,1,0,2015-16,14,21,0.0,Left Side Center(LC),2015-11-28,POR,4190
Step Back Jump shot,34.0083,-156,36,-118.4258,9,3,0,2015-16,44,16,0.0,Left Side(L),2015-11-22,POR,17022
Layup Shot,34.0403,11,4,-118.2588,10,2,0,2001-02,4,1,1.0,Center(C),2002-03-20,SAS,26541
Jump Shot,33.8633,-175,181,-118.4448,7,4,0,2011-12,37,25,0.0,Left Side Center(LC),2011-12-31,DEN,22765
Jump Shot,33.8313,53,213,-118.2168,11,3,0,2008-09,17,21,1.0,Center(C),2009-01-06,NOH,30578
Jump Shot,33.9093,122,135,-118.1478,8,4,0,2010-11,55,18,,Right Side Center(RC),2010-12-28,SAS,3740
Finger Roll Shot,34.0443,0,0,-118.2698,5,2,0,2006-07,49,0,0.0,Center(C),2007-04-04,LAC,26881
Jump Shot,33.8433,144,201,-118.1258,0,4,0,2006-07,8,24,,Right Side Center(RC),2007-02-15,CLE,14205
Running Jump Shot,34.0113,82,33,-118.1878,2,4,1,2003-04,54,8,0.0,Right Side(R),2004-05-31,MIN,9976
Jump Shot,33.8223,-128,222,-118.3978,10,1,1,1999-00,38,25,0.0,Left Side Center(LC),2000-05-16,PHX,20203
Jump Shot,34.0013,-149,43,-118.4188,8,3,0,2005-06,43,15,,Left Side(L),2006-02-24,LAC,9729
Jump Shot,33.9553,86,89,-118.1838,7,3,0,2010-11,27,12,1.0,Right Side(R),2011-02-16,CLE,8880
Driving Dunk Shot,34.0443,0,0,-118.2698,0,5,0,1998-99,50,0,1.0,Center(C),1999-02-22,DEN,11667
Jump Shot,33.9913,-155,53,-118.4248,2,2,0,2000-01,40,16,,Left Side(L),2000-11-12,HOU,26695
Turnaround Fadeaway shot,33.9993,-65,45,-118.3348,8,1,0,2011-12,10,7,0.0,Center(C),2012-04-01,GSW,10190
Turnaround Jump Shot,33.9523,-110,92,-118.3798,1,1,0,2005-06,47,14,,Left Side(L),2006-04-07,PHX,23381
Jump Shot,33.9753,151,69,-118.1188,4,3,0,2012-13,38,16,0.0,Right Side(R),2013-02-25,DEN,6551
Driving Layup Shot,34.0443,0,0,-118.2698,5,4,0,2009-10,35,0,,Center(C),2009-10-27,LAC,6179
Driving Reverse Layup Shot,34.0413,-21,3,-118.2908,2,4,0,2011-12,51,2,1.0,Center(C),2012-03-13,MEM,11777
Jump Shot,33.9343,-152,110,-118.4218,4,4,0,2008-09,47,18,0.0,Left Side(L),2008-12-05,WAS,27695
Running Jump Shot,33.9693,-2,75,-118.2718,3,4,0,2008-09,43,7,0.0,Center(C),2009-01-04,POR,12385
Jump Shot,33.9383,181,106,-118.0888,3,1,0,1997-98,17,20,,Right Side(R),1997-12-28,BOS,2711
Jump Shot,33.9033,-107,141,-118.3768,7,1,0,2006-07,54,17,0.0,Left Side Center(LC),2007-02-03,WAS,25618
Jump Shot,33.9033,-128,141,-118.3978,8,1,0,2006-07,22,19,0.0,Left Side Center(LC),2006-12-12,HOU,15244
Jump Shot,33.8343,-141,210,-118.4108,0,5,0,2005-06,17,25,0.0,Left Side Center(LC),2006-01-19,SAC,2685
Jump Shot,34.0233,-81,21,-118.3508,3,1,0,1999-00,37,8,,Left Side(L),2000-02-09,MIN,1394
Jump Shot,33.8203,-141,224,-118.4108,1,4,0,2011-12,33,26,1.0,Left Side Center(LC),2012-03-13,MEM,20874
Jump Shot,33.9853,154,59,-118.1158,5,3,0,2006-07,33,16,0.0,Right Side(R),2006-11-19,CHI,2227
Jump Shot,33.8653,108,179,-118.1618,0,2,0,2006-07,54,20,0.0,Right Side Center(RC),2007-01-09,MEM,2535
Jump Shot,33.8883,-16,156,-118.2858,0,2,1,2000-01,47,15,,Center(C),2001-06-06,PHI,17996
Jump Shot,33.9483,-36,96,-118.3058,7,4,0,1998-99,6,10,1.0,Center(C),1999-02-28,HOU,3337
Pullup Jump shot,33.8363,124,208,-118.1458,4,2,1,2009-10,12,24,1.0,Right Side Center(RC),2010-06-10,BOS,23909
Jump Shot,33.9293,136,115,-118.1338,10,3,0,1999-00,25,17,,Right Side Center(RC),2000-03-01,VAN,24494
Jump Shot,33.8183,-157,226,-118.4268,5,3,0,2000-01,47,27,0.0,Left Side Center(LC),2000-12-25,POR,555
Jump Shot,33.8633,-169,181,-118.4388,0,2,0,2010-11,36,24,1.0,Left Side Center(LC),2010-11-09,MIN,16172
Jump Shot,33.8023,-100,242,-118.3698,9,4,0,1998-99,40,26,1.0,Left Side Center(LC),1999-02-05,HOU,12739
Jump Shot,33.8523,212,192,-118.0578,4,4,0,2006-07,17,28,1.0,Right Side Center(RC),2007-03-09,PHI,25756
Jump Shot,33.8043,-97,240,-118.3668,3,2,0,2005-06,45,25,,Left Side Center(LC),2005-12-20,DAL,19894
Jump Shot,34.0013,-146,43,-118.4158,10,2,0,1996-97,41,15,0.0,Left Side(L),1997-01-06,POR,5664
Jump Shot,33.9323,171,112,-118.0988,11,3,0,2005-06,51,20,1.0,Right Side(R),2005-11-27,NJN,9435
Jump Shot,33.8223,136,222,-118.1338,1,4,1,1998-99,22,26,,Right Side Center(RC),1999-05-23,SAS,908
Jump Shot,33.8683,-128,176,-118.3978,7,1,0,2002-03,36,21,0.0,Left Side Center(LC),2003-03-15,MIL,3900
Turnaround Jump Shot,33.9283,97,116,-118.1728,6,3,0,2008-09,45,15,0.0,Right Side(R),2009-02-27,DEN,18462
Layup Shot,34.0443,0,0,-118.2698,0,3,0,2002-03,2,0,0.0,Center(C),2003-01-29,PHX,13939
Driving Layup Shot,34.0443,0,0,-118.2698,9,3,1,2003-04,29,0,1.0,Center(C),2004-06-06,DET,28677
Jump Shot,34.0323,154,12,-118.1158,9,3,0,1998-99,0,15,0.0,Right Side(R),1999-03-09,LAC,3618
Running Jump Shot,33.9733,31,71,-118.2388,0,2,0,2005-06,42,7,1.0,Center(C),2006-03-15,MIN,9376
Jump Shot,33.8953,-91,149,-118.3608,1,4,0,1999-00,21,17,0.0,Left Side Center(LC),1999-12-27,DAL,28759
Jump Shot,33.7863,80,258,-118.1898,3,4,0,2005-06,8,27,1.0,Center(C),2006-03-06,SAS,10329
Jump Shot,33.9303,-151,114,-118.4208,9,3,1,2002-03,32,18,0.0,Left Side Center(LC),2003-04-20,MIN,14952
Jump Shot,33.8303,-92,214,-118.3618,10,4,0,1996-97,10,23,1.0,Left Side Center(LC),1996-11-26,PHI,17260
Jump Shot,33.8673,18,177,-118.2518,8,1,0,2001-02,34,17,0.0,Center(C),2002-03-26,CLE,24421
Jump Shot,34.0043,-162,40,-118.4318,7,4,0,2000-01,12,16,0.0,Left Side(L),2001-01-30,CLE,13264
Layup Shot,34.0443,0,0,-118.2698,7,1,0,2008-09,1,0,,Center(C),2009-02-27,DEN,22467
Jump Shot,33.9183,-234,126,-118.5038,1,5,0,2009-10,34,26,,Left Side Center(LC),2009-12-16,MIL,24303
Jump Shot,33.9763,8,68,-118.2618,8,3,1,1999-00,35,6,0.0,Center(C),2000-06-14,IND,2728
Jump Shot,33.9253,-134,119,-118.4038,10,1,0,1998-99,20,17,0.0,Left Side Center(LC),1999-04-29,POR,18981
Jump Shot,33.8043,66,240,-118.2038,3,3,0,2004-05,23,24,0.0,Center(C),2005-01-10,MIN,25810
Turnaround Jump Shot,34.0033,-49,41,-118.3188,2,1,0,2007-08,24,6,0.0,Center(C),2007-12-02,ORL,1605
Jump Shot,34.0443,161,0,-118.1088,11,1,0,2007-08,7,16,0.0,Right Side(R),2008-02-19,ATL,21939
Jump Shot,33.9263,24,118,-118.2458,1,3,1,2001-02,50,12,1.0,Center(C),2002-05-10,SAS,4565
Reverse Layup Shot,34.0443,0,0,-118.2698,1,3,0,2005-06,45,0,0.0,Center(C),2005-11-14,MEM,18885
Tip Shot,34.0443,0,0,-118.2698,1,2,1,2001-02,18,0,0.0,Center(C),2002-06-05,NJN,15557
Jump Shot,33.9193,217,125,-118.0528,4,3,1,2003-04,6,25,1.0,Right Side Center(RC),2004-05-09,SAS,26405
Turnaround Fadeaway shot,33.9233,116,121,-118.1538,3,4,0,2012-13,53,16,1.0,Right Side Center(RC),2013-04-05,MEM,2413
Slam Dunk Shot,34.0443,0,0,-118.2698,0,2,0,1999-00,50,0,1.0,Center(C),2000-01-10,DEN,30166
Layup Shot,34.0443,0,0,-118.2698,8,4,0,1996-97,47,0,0.0,Center(C),1996-12-04,UTA,28262
Turnaround Jump Shot,34.0623,138,-18,-118.1318,3,1,0,2002-03,55,13,0.0,Right Side(R),2003-02-11,DEN,18180
Jump Shot,33.8373,136,207,-118.1338,0,2,0,2002-03,30,24,1.0,Right Side Center(RC),2003-01-07,SEA,3275
Layup Shot,34.0443,0,0,-118.2698,0,4,0,2008-09,18,0,0.0,Center(C),2009-01-11,MIA,6021
Fadeaway Jump Shot,33.9123,70,132,-118.1998,5,2,0,2012-13,10,14,1.0,Center(C),2012-12-22,GSW,8212
Jump Shot,33.8813,-186,163,-118.4558,0,3,0,2007-08,41,24,0.0,Left Side Center(LC),2007-11-25,NJN,2426
Jump Shot,33.9113,-146,133,-118.4158,4,2,1,2003-04,58,19,,Left Side Center(LC),2004-05-09,SAS,20871
Jump Shot,33.8863,133,158,-118.1368,11,1,0,2006-07,19,20,,Right Side Center(RC),2007-03-18,MIN,29450
Jump Shot,33.8633,-1,181,-118.2708,2,1,0,2001-02,52,18,1.0,Center(C),2002-03-29,POR,15045
Jump Shot,33.9153,129,129,-118.1408,4,2,0,2001-02,9,18,0.0,Right Side Center(RC),2002-01-08,DET,7487
Jump Shot,34.0553,-241,-11,-118.5108,7,3,0,2004-05,7,24,1.0,Left Side(L),2004-12-08,PHX,25569
Jump Shot,33.8993,-64,145,-118.3338,5,2,0,2006-07,5,15,1.0,Center(C),2007-01-07,DAL,30543
Jump Shot,33.8023,-2,242,-118.2718,9,3,1,2007-08,41,24,1.0,Center(C),2008-04-23,DEN,17713
Jump Shot,33.8573,174,187,-118.0958,0,1,1,2007-08,50,25,0.0,Right Side Center(RC),2008-05-09,UTA,27666
Jump Shot,33.9243,218,120,-118.0518,1,4,0,2015-16,53,24,0.0,Right Side Center(RC),2015-12-04,ATL,26564
Jump Shot,33.9013,-73,143,-118.3428,3,2,0,2009-10,7,16,0.0,Left Side Center(LC),2010-01-05,HOU,30044
Jump Shot,33.8933,100,151,-118.1698,7,1,0,2004-05,32,18,0.0,Right Side Center(RC),2005-03-06,IND,27573
Jump Shot,34.0443,-149,0,-118.4188,7,3,0,2000-01,23,14,0.0,Left Side(L),2001-02-28,DEN,6778
Running Jump Shot,34.0303,59,14,-118.2108,0,1,0,1998-99,57,6,0.0,Center(C),1999-04-26,HOU,14284
Running Jump Shot,33.9913,-46,53,-118.3158,7,4,1,2001-02,17,7,1.0,Center(C),2002-05-10,SAS,11969
Dunk Shot,34.0443,10,0,-118.2598,9,3,0,2010-11,17,1,1.0,Center(C),2011-02-14,CHA,14306
Jump Shot,33.8873,149,157,-118.1208,5,4,0,2014-15,22,21,0.0,Right Side Center(RC),2014-12-21,SAC,25998
Jump Shot,34.0063,5,38,-118.2648,3,4,0,2001-02,38,3,0.0,Center(C),2001-11-11,ORL,12588
Jump Shot,33.9893,-50,55,-118.3198,6,3,1,2000-01,34,7,0.0,Center(C),2001-05-19,SAS,27416
Jump Shot,33.9963,-164,48,-118.4338,4,2,0,1999-00,12,17,0.0,Left Side(L),2000-01-05,LAC,22020
Jump Shot,33.8963,-149,148,-118.4188,10,1,0,2000-01,50,21,1.0,Left Side Center(LC),2000-12-21,HOU,2874
Jump Shot,33.8673,-25,177,-118.2948,9,3,0,2000-01,12,17,0.0,Center(C),2001-01-13,UTA,15284
Jump Shot,33.8653,115,179,-118.1548,0,3,1,2005-06,38,21,0.0,Right Side Center(RC),2006-04-26,PHX,15948
Jump Shot,34.0443,-111,0,-118.3808,10,3,1,2000-01,48,11,0.0,Left Side(L),2001-05-27,SAS,14089
Jump Shot,34.0603,130,-16,-118.1398,1,1,0,1999-00,33,13,0.0,Right Side(R),2000-01-28,MIL,28490
Driving Layup Shot,34.0303,10,14,-118.2598,7,4,0,2008-09,10,1,1.0,Center(C),2009-03-29,ATL,3316
Jump Shot,33.8213,-27,223,-118.2968,1,2,0,1996-97,38,22,,Center(C),1996-11-17,PHX,19412
Running Jump Shot,33.9813,70,63,-118.1998,5,4,0,2001-02,51,9,1.0,Right Side(R),2002-01-16,MIA,607
Jump Shot,33.9743,-242,70,-118.5118,0,1,0,2001-02,22,25,0.0,Left Side(L),2001-12-05,DAL,30414
Fadeaway Jump Shot,33.9503,-98,94,-118.3678,4,3,0,2009-10,9,13,1.0,Left Side(L),2009-12-22,OKC,25674
Jump Shot,33.8433,-43,201,-118.3128,1,2,0,2005-06,38,20,,Center(C),2005-11-16,NYK,24553
Jump Shot,33.9273,225,117,-118.0448,3,3,0,2006-07,19,25,1.0,Right Side Center(RC),2006-11-30,UTA,22681
Driving Layup Shot,34.0443,0,0,-118.2698,2,2,0,2001-02,6,0,0.0,Center(C),2002-04-14,POR,26172
Jump Shot,33.8913,-98,153,-118.3678,7,3,0,2012-13,38,18,1.0,Left Side Center(LC),2012-12-16,PHI,13163
Jump Shot,33.8183,-69,226,-118.3388,6,1,0,2001-02,46,23,1.0,Center(C),2002-01-22,DEN,15497
Jump Shot,33.7873,24,257,-118.2458,10,2,0,2004-05,13,25,0.0,Center(C),2005-02-15,UTA,857
Driving Layup Shot,34.0363,16,8,-118.2538,1,3,0,1997-98,46,1,0.0,Center(C),1998-03-15,VAN,1927
Jump Shot,33.8253,142,219,-118.1278,0,2,1,2001-02,27,26,0.0,Right Side Center(RC),2002-06-05,NJN,24641
Jump Shot,34.0323,-168,12,-118.4378,3,4,1,2008-09,41,16,0.0,Left Side(L),2009-05-06,HOU,23252
Jump Shot,33.9603,-174,84,-118.4438,8,3,1,2005-06,0,19,1.0,Left Side(L),2006-05-04,PHX,27549
Layup Shot,34.0443,0,0,-118.2698,0,1,0,1997-98,59,0,1.0,Center(C),1998-01-28,NJN,19044
Jump Shot,33.8793,-98,165,-118.3678,5,2,0,2010-11,22,19,0.0,Left Side Center(LC),2011-02-22,ATL,20395
Driving Layup Shot,34.0443,0,0,-118.2698,7,4,1,2003-04,27,0,1.0,Center(C),2004-05-31,MIN,6805
Turnaround Jump Shot,33.9883,-128,56,-118.3978,9,3,0,2005-06,6,13,1.0,Left Side(L),2006-01-09,IND,8911
Jump Shot,34.0183,-235,26,-118.5048,9,3,0,2004-05,2,23,0.0,Left Side(L),2004-11-12,ORL,28916
Jump Shot,33.8543,-179,190,-118.4488,2,1,0,2011-12,53,26,1.0,Left Side Center(LC),2012-03-25,MEM,23542
Reverse Dunk Shot,34.0443,0,0,-118.2698,9,4,0,2007-08,24,0,1.0,Center(C),2008-04-11,NOH,17006
Jump Shot,33.9343,-225,110,-118.4948,8,4,0,2004-05,44,25,0.0,Left Side Center(LC),2005-02-13,CLE,26799
Jump Shot,34.0553,222,-11,-118.0478,5,1,0,2007-08,52,22,,Right Side(R),2008-02-26,POR,45
Jump Shot,34.0423,-189,2,-118.4588,5,2,0,2005-06,43,18,0.0,Left Side(L),2005-12-20,DAL,2813
Jump Shot,33.8123,123,232,-118.1468,0,4,1,2005-06,25,26,0.0,Right Side Center(RC),2006-04-30,PHX,28555
Layup Shot,34.0543,2,-10,-118.2678,0,2,0,2011-12,43,1,1.0,Center(C),2012-03-07,WAS,17999
Dunk Shot,34.0443,0,0,-118.2698,5,3,0,2007-08,0,0,1.0,Center(C),2007-12-13,SAS,16498
Alley Oop Dunk Shot,34.0443,0,0,-118.2698,1,3,1,2007-08,0,0,1.0,Center(C),2008-04-23,DEN,25068
Layup Shot,34.0443,0,0,-118.2698,3,3,0,2007-08,26,0,0.0,Center(C),2008-01-27,CLE,16099
Fadeaway Jump Shot,34.0183,67,26,-118.2028,6,1,0,2009-10,11,7,1.0,Center(C),2009-12-04,MIA,14993
Jump Shot,33.8813,106,163,-118.1638,10,1,0,2000-01,10,19,1.0,Right Side Center(RC),2001-03-04,GSW,19515
Jump Shot,34.0273,164,17,-118.1058,5,3,0,2006-07,45,16,0.0,Right Side(R),2006-11-21,LAC,360
Jump Shot,33.8063,123,238,-118.1468,1,4,0,2006-07,28,26,0.0,Right Side Center(RC),2007-02-03,WAS,13221
Jump Shot,33.8663,-177,178,-118.4468,1,4,0,2008-09,46,25,1.0,Left Side Center(LC),2009-03-12,SAS,16069
Pullup Jump shot,33.8053,84,239,-118.1858,3,3,0,2012-13,14,25,1.0,Right Side Center(RC),2013-01-11,OKC,30659
Reverse Layup Shot,34.0253,12,19,-118.2578,1,1,0,2010-11,55,2,,Center(C),2010-11-16,MIL,26584
Running Jump Shot,34.0183,-34,26,-118.3038,8,4,0,2007-08,15,4,0.0,Center(C),2007-10-30,HOU,5817
Layup Shot,34.0443,0,0,-118.2698,2,1,0,1996-97,46,0,0.0,Center(C),1997-02-12,MIN,13907
Jump Shot,33.8463,-42,198,-118.3118,0,3,0,2000-01,33,20,,Center(C),2001-02-18,IND,13311
Driving Layup Shot,34.0443,0,0,-118.2698,4,5,0,2001-02,9,0,0.0,Center(C),2001-11-15,HOU,586
Jump Shot,33.9173,-141,127,-118.4108,11,4,0,2001-02,42,18,0.0,Left Side Center(LC),2002-02-19,BOS,4979
Turnaround Jump Shot,34.0183,-4,26,-118.2738,6,1,0,2011-12,24,2,,Center(C),2012-02-23,OKC,17646
Turnaround Jump Shot,33.9703,-153,74,-118.4228,3,2,0,2002-03,18,16,1.0,Left Side(L),2003-02-12,DEN,14951
Jump Shot,33.8433,-138,201,-118.4078,6,2,0,2009-10,46,24,0.0,Left Side Center(LC),2009-12-22,OKC,15696
Jump Shot,33.8603,-113,184,-118.3828,7,1,0,2001-02,55,21,1.0,Left Side Center(LC),2001-11-01,UTA,6436
Jump Shot,33.9673,25,77,-118.2448,10,2,0,1997-98,24,8,0.0,Center(C),1998-04-19,UTA,27200
Jump Shot,33.8203,108,224,-118.1618,8,3,1,2001-02,20,24,1.0,Right Side Center(RC),2002-06-09,NJN,10088
Turnaround Fadeaway shot,33.9383,69,106,-118.2008,6,2,0,2015-16,29,12,0.0,Right Side(R),2016-02-24,MEM,14217
Fadeaway Jump Shot,33.9263,-138,118,-118.4078,4,1,1,2002-03,11,18,1.0,Left Side Center(LC),2003-05-09,SAS,17465
Layup Shot,34.0443,0,0,-118.2698,8,3,1,2001-02,27,0,,Center(C),2002-04-21,POR,9919
Jump Shot,33.7973,-107,247,-118.3768,5,3,0,2002-03,14,26,,Left Side Center(LC),2002-12-15,ORL,201
Jump Shot,33.9103,6,134,-118.2638,1,3,0,2010-11,59,13,1.0,Center(C),2011-01-12,GSW,21362
Jump Shot,33.8913,154,153,-118.1158,6,1,0,2007-08,23,21,1.0,Right Side Center(RC),2007-12-05,DEN,4564
Jump Shot,33.9923,-8,52,-118.2778,1,2,0,2011-12,3,5,0.0,Center(C),2012-03-11,BOS,27070
Turnaround Jump Shot,34.0003,89,44,-118.1808,0,2,1,2011-12,50,9,0.0,Right Side(R),2012-05-21,OKC,18360
Slam Dunk Shot,34.0443,0,0,-118.2698,4,4,0,2003-04,41,0,1.0,Center(C),2004-02-17,POR,28940
Jump Shot,33.9193,-149,125,-118.4188,1,3,0,2005-06,37,19,1.0,Left Side Center(LC),2005-12-09,CHI,2052
Layup Shot,34.0443,0,0,-118.2698,11,1,0,2004-05,38,0,1.0,Center(C),2005-01-02,DEN,6294
Jump Shot,33.8053,91,239,-118.1788,11,1,0,2012-13,24,25,0.0,Right Side Center(RC),2013-03-12,ORL,18856
Layup Shot,34.0443,0,0,-118.2698,0,1,0,2007-08,26,0,,Center(C),2008-01-14,SEA,7648
Fadeaway Jump Shot,33.9503,-150,94,-118.4198,2,3,0,2010-11,48,17,1.0,Left Side(L),2011-01-21,DEN,23060
Jump Shot,33.8743,-179,170,-118.4488,7,3,0,2008-09,14,24,,Left Side Center(LC),2008-11-11,DAL,19760
Jump Shot,33.9953,8,49,-118.2618,9,2,0,2003-04,22,4,1.0,Center(C),2003-11-16,MIA,7902
Turnaround Jump Shot,34.0113,18,33,-118.2518,9,3,0,2012-13,32,3,1.0,Center(C),2012-11-16,PHX,28982
Turnaround Jump Shot,33.9703,42,74,-118.2278,10,1,0,2008-09,50,8,1.0,Center(C),2009-01-13,HOU,4826
Fadeaway Jump Shot,34.0083,159,36,-118.1108,8,3,0,2005-06,5,16,1.0,Right Side(R),2006-02-03,CHA,24699
Jump Shot,33.9153,-179,129,-118.4488,3,1,0,2010-11,42,22,1.0,Left Side(L),2011-02-11,NYK,3534
